Species,River,River_GFE_ID,GFE_ID,WATERSHED_CDE,DFO,CU,BroodYear,area_km2,ln_area_km2,ln_area_km2_std,Spawners,logS,Recruits,Returns,recruitPerSpawner,ln_RS,ECA_age_proxy,ECA_age_proxy_forested_only,ECA_age_proxy_forested_only_std,disturbedarea_m2_3005,disturbedarea_m2_cs,disturbedarea_prct_cs,lake_cover_pct,var_eaubc_KFACTOR,var_eaubc_MELTONS_R,vri_bec_zone,npgo,portion_reporting_vri_cover1_missing,hatchery_enhancement,year_of_enhacement,forested_area_m2,disturbedarea_m2_total,permament_dist_m2,X_LONG,Y_LAT,CU_NAME,distance,sst_ersst_lat,sst_ersst_lon,sst_ersst_year,spring_ersst,pdo,pdo.std
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1956,10.1482007,2.317296419,-0.7444606,200,5.298317367,516.465271,527.3570045,2.582326355,0.948690681,0.0056,0.0056,-0.743894225,0,76204.31897,0.750914583,0,0.11894,0.112368,CWH,-1.204268596,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1957,12.45018959,0.29,0.649167733
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1957,10.1482007,2.317296419,-0.7444606,1500,7.313220387,1198.811155,2784.156853,0.799207437,-0.224134746,0.0056,0.0056,-0.743894225,0,76204.31897,0.750914583,0,0.11894,0.112368,CWH,-0.327669103,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1958,13.27657437,0.864166667,1.377032551
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1958,10.1482007,2.317296419,-0.7444606,1500,7.313220387,722.8812337,2427.304622,0.481920822,-0.729975447,0.0056,0.0056,-0.743894225,0,76204.31897,0.750914583,0,0.11894,0.112368,CWH,-0.247814403,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1959,12.05772734,0.274166667,0.629095989
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1966,10.1482007,2.317296419,-0.7444606,750,6.620073207,2714.787176,750.0189755,3.619716234,1.286395634,0.1523,0.1523,0.631760467,0,1602687.053,15.79281983,0,0.11894,0.112368,CWH,-0.657750015,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1967,11.84238625,-0.741666667,-0.658664844
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1967,10.1482007,2.317296419,-0.7444606,1500,7.313220387,1667.448826,1500,1.111632551,0.105829701,0.1523,0.1523,0.631760467,0,1602687.053,15.79281983,0,0.11894,0.112368,CWH,-0.480898093,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1968,11.63494825,-0.154166667,0.086102496
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1968,10.1482007,2.317296419,-0.7444606,1500,7.313220387,3390.656211,1500.148965,2.260437474,0.815558367,0.1523,0.1523,0.631760467,0,1602687.053,15.79281983,0,0.11894,0.112368,CWH,-1.101328705,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1969,11.49504614,-0.344166667,-0.154758431
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1969,10.1482007,2.317296419,-0.7444606,3500,8.160518247,5305.733172,3519.626061,1.515923764,0.416024998,0.314,0.314,2.148075148,1641177.739,3243864.792,31.96492548,0,0.11894,0.112368,CWH,0.096734012,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1970,11.42895889,-0.404166667,-0.230819777
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1970,10.1482007,2.317296419,-0.7444606,2000,7.60090246,3417.285909,2430.871936,1.708642955,0.535699462,0.2984,0.2984,2.00178876,0,3243864.792,31.96492548,0,0.11894,0.112368,CWH,0.105837097,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1971,10.84638214,-1.315833333,-1.386529663
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1971,10.1482007,2.317296419,-0.7444606,1000,6.907755279,2303.162859,1339.739435,2.303162859,0.834283335,0.2984,0.2984,2.00178876,0,3243864.792,31.96492548,0,0.11894,0.112368,CWH,-0.340803929,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1972,11.48064208,-1.144166667,-1.168909703
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1972,10.1482007,2.317296419,-0.7444606,1700,7.43838353,2050.881141,2156.9845,1.206400671,0.187641274,0.3205,0.3205,2.20902781,223721.9386,3467586.731,34.16947331,0,0.11894,0.112368,CWH,-0.276282559,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1973,11.70474458,-1.136666667,-1.159402034
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1973,10.1482007,2.317296419,-0.7444606,4168,8.335191583,1215.774559,6052.812101,0.291692552,-1.232054934,0.3205,0.3205,2.20902781,0,3467586.731,34.16947331,0,0.11894,0.112368,CWH,-0.203552315,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1974,11.49936986,-0.3025,-0.101938053
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1974,10.1482007,2.317296419,-0.7444606,3060,8.026170195,4853.856934,4441.691944,1.586227756,0.461358717,0.3728,0.3728,2.699462305,531113.8417,3998700.573,39.40304976,0,0.11894,0.112368,CWH,0.767079307,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1975,11.35887289,-1.411666667,-1.508016534
CM,CARNATION CREEK,CARNATION CREEK_1254,1254,930-112200-00000-00000-0000-0000-000-000-000-000-000-000,23,CM-10,1975,10.1482007,2.317296419,-0.7444606,1200,7.090076836,798.4213286,1551.14558,0.665351107,-0.407440397,0.3508,0.3508,2.493160988,0,3998700.573,39.40304976,0,0.11894,0.112368,CWH,1.228616258,0,FALSE,FALSE,10148200.7,7211777.92,0,-125.0037843,48.91360195,SOUTHWEST VANCOUVER ISLAND,125.3650207,48,-126,1976,11.24937081,-0.149166667,0.092440941
