year,spring_ersst
1925,11.25888180732727
1926,12.856251239776611
1927,11.227711915969849
1928,11.931589365005493
1929,11.50635290145874
1930,11.289757251739502
1931,12.002480030059814
1932,11.283612728118896
1933,11.052557945251465
1934,12.74331283569336
1935,11.685930252075195
1936,12.885036945343018
1937,11.665544748306274
1938,11.887526273727417
1939,11.758677959442139
1940,12.85696792602539
1941,13.60455870628357
1942,12.447268009185791
1943,11.47541618347168
1944,11.64440655708313
1945,11.723129749298096
1946,11.090453624725342
1947,12.515588760375977
1948,11.895586013793945
1949,11.228038787841797
1950,10.651830196380615
1951,11.219110488891602
1952,11.339361667633057
1953,11.909708261489868
1954,11.33151650428772
1955,10.956751585006714
1956,11.959364652633667
1957,12.450189590454102
1958,13.27657437324524
1959,12.057727336883545
1960,11.89347219467163
1961,12.380626201629639
1962,11.871188402175903
1963,12.629561424255371
1964,11.379914045333862
1965,11.0445396900177
1966,11.827313899993896
1967,11.842386245727539
1968,11.634948253631592
1969,11.495046138763428
1970,11.428958892822266
1971,10.846382141113281
1972,11.480642080307007
1973,11.704744577407837
1974,11.499369859695435
1975,11.358872890472412
1976,11.249370813369751
1977,11.71943736076355
1978,12.418227672576904
1979,11.97913408279419
1980,12.12250828742981
1981,11.908312797546387
1982,11.414131879806519
1983,12.945026159286499
1984,11.518422842025757
1985,11.815768718719482
1986,11.941482305526733
1987,12.17350721359253
1988,11.972742319107056
1989,12.487441062927246
1990,12.433639526367188
1991,11.79512619972229
1992,13.196390151977539
1993,12.928369045257568
1994,12.567014217376709
1995,13.02759337425232
1996,12.10159683227539
1997,13.070866584777832
1998,13.078027725219727
1999,11.349757432937622
2000,12.42564344406128
2001,11.675560474395752
2002,11.667540550231934
2003,12.741175413131714
2004,13.256280422210693
2005,13.042715311050415
2006,12.130370378494263
2007,11.954375505447388
2008,10.733934879302979
2009,11.336162805557251
2010,12.013785362243652
2011,11.967293739318848
2012,11.91198205947876
2013,12.368532180786133
2014,12.524694442749023
2015,13.442698240280151
2016,13.489204168319702
2017,12.60340929031372
2018,12.907916069030762
2019,12.810261964797974
2020,12.535475492477417
2021,12.241191148757935
2022,11.91221809387207
2023,12.20577621459961
2024,12.48723554611206
2025,12.281408071517944
