clones,parameter,fitting_model,estimate_median,estimate_lower,estimate_upper,estimate_variance,Rhat,error,true_value,generating_model,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,K,Beverton-Holt,14277.65,7589.53,83662.35,723540397.4075,1.01,42.77649999999999,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.72,1.22,5704.9,14277.65
1,Smsy,Beverton-Holt,5704.9,2381.7,37837.19,150833882.594,1.029,55.929351416317,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.72,1.22,5704.9,14277.65
1,alpha,Beverton-Holt,0.72,0.15,2.13,0.2452,1.052,-34.545454545454554,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.72,1.22,5704.9,14277.65
1,sigma,Beverton-Holt,1.22,1.05,1.44,0.0105,1.02,10.9090909090909,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.72,1.22,5704.9,14277.65
1,K,Beverton-Holt,5506.36,3387.24,9962.87,3526264.5121,1.003,-44.936400000000006,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.67,1.19,1082.66,5506.36
1,Smsy,Beverton-Holt,1082.66,46,4149.03,1530882.2915,1.001,-74.56962014136852,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.67,1.19,1082.66,5506.36
1,alpha,Beverton-Holt,2.67,0.23,9.5,8.0915,1.001,142.7272727272727,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.67,1.19,1082.66,5506.36
1,sigma,Beverton-Holt,1.19,1,1.46,0.0143,1.02,8.181818181818167,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.67,1.19,1082.66,5506.36
1,K,Ricker,19056.65,8017.21,66590.77,329713461.7617,1.002,90.5665,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.24,8872.29,19056.65
1,Smsy,Ricker,8872.29,3930.78,31667.39,73724387.2,1.002,142.50213417894713,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.24,8872.29,19056.65
