simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Ricker,K,9254,Beverton-Holt,21626.56,2029.22,258566.27,1.009,133.69958936676034,3.2067720869787806,1.3859707002561836,2598.287651614329,9254,4.64,13.33,1682.22,21626.56
1,Ricker,Smsy,2598.287651614329,Beverton-Holt,1682.22,64.77,65046.78,1.013,-35.25659104930787,3.2067720869787806,1.3859707002561836,2598.287651614329,9254,4.64,13.33,1682.22,21626.56
1,Ricker,alpha,3.2067720869787806,Beverton-Holt,4.64,0.25,9.73,1.022,44.69378783858371,3.2067720869787806,1.3859707002561836,2598.287651614329,9254,4.64,13.33,1682.22,21626.56
1,Ricker,sigma,1.3859707002561836,Beverton-Holt,13.33,10.83,16.95,1.009,861.7807936009091,3.2067720869787806,1.3859707002561836,2598.287651614329,9254,4.64,13.33,1682.22,21626.56
1,Ricker,K,9254,Ricker,8611.6,7332.35,9910.78,NA,-6.9418629781715975,3.2067720869787806,1.3859707002561836,2598.287651614329,9254,2.94,1.36,2556.76,8611.6
1,Ricker,Smsy,2598.287651614329,Ricker,2556.76,2395.03,2684.1,1,-1.5982699832533034,3.2067720869787806,1.3859707002561836,2598.287651614329,9254,2.94,1.36,2556.76,8611.6
1,Ricker,alpha,3.2067720869787806,Ricker,2.94,2.47,3.42,1.001,-8.31902236089739,3.2067720869787806,1.3859707002561836,2598.287651614329,9254,2.94,1.36,2556.76,8611.6
1,Ricker,sigma,1.3859707002561836,Ricker,1.36,1.1,1.75,1.001,-1.873827509584661,3.2067720869787806,1.3859707002561836,2598.287651614329,9254,2.94,1.36,2556.76,8611.6
2,Beverton-Holt,K,8798,Beverton-Holt,8943.97,6070.44,13632.31,1.001,1.6591270743350688,2.8842531582526085,0.9522698275214737,1682.3205815674628,8798,5.18,0.94,624.3,8943.97
2,Beverton-Holt,Smsy,1682.3205815674628,Beverton-Holt,624.3,65.02,3832.28,1.002,-62.89054495081294,2.8842531582526085,0.9522698275214737,1682.3205815674628,8798,5.18,0.94,624.3,8943.97
