simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Beverton-Holt,K,9706,Beverton-Holt,9075.64,7148.63,11913.73,1.003,-6.494539460127762,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.7,0.75,307.15,9075.64
1,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,307.15,64.94,2106.5,1.006,-87.43631000353125,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.7,0.75,307.15,9075.64
1,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.7,2.63,9.8,1.002,207.7311285031989,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.7,0.75,307.15,9075.64
1,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.6,0.96,1.001,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.7,0.75,307.15,9075.64
1,Beverton-Holt,K,9706,Ricker,11826.71,8947.38,16546.4,1.001,21.849474551823604,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.35,11826.71
1,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4885.35,3776.11,6924.79,1.001,99.83077624694332,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.35,11826.71
1,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.24,0.81,1.68,1.001,-43.04677621731841,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.35,11826.71
1,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.73,1.16,1.001,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.35,11826.71
2,Beverton-Holt,K,9706,Beverton-Holt,9072.51,7148.25,11502.02,1.001,-6.526787554090252,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.66,0.75,314.41,9072.51
2,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,314.41,63.73,1889.21,1,-87.1393463396069,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.66,0.75,314.41,9072.51
