simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Ricker,K,8141,Beverton-Holt,6179.88,3582.23,11029.46,1,-24.089423903697334,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.45,1.46,236.73,6179.88
1,Ricker,Smsy,2568.6767045605684,Beverton-Holt,236.73,39.13,1594.31,1.001,-90.7839706110272,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.45,1.46,236.73,6179.88
1,Ricker,alpha,2.654113581970063,Beverton-Holt,6.45,2.38,9.83,1.001,143.01898923302193,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.45,1.46,236.73,6179.88
1,Ricker,sigma,0.5564320319053105,Beverton-Holt,1.46,1.14,1.95,1.001,162.38604470715515,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.45,1.46,236.73,6179.88
1,Ricker,K,8141,Ricker,8227.92,7664.08,8793.05,1,1.0676821029357582,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.57,0.46,2639.12,8227.92
1,Ricker,Smsy,2568.6767045605684,Ricker,2639.12,2502.68,2795.42,1,2.7423963208122935,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.57,0.46,2639.12,8227.92
1,Ricker,alpha,2.654113581970063,Ricker,2.57,2.3,2.84,1.001,-3.1691779335090975,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.57,0.46,2639.12,8227.92
1,Ricker,sigma,0.5564320319053105,Ricker,0.46,0.36,0.62,1.001,-17.33042427034837,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.57,0.46,2639.12,8227.92
2,Ricker,K,8141,Beverton-Holt,8184.07,5259.36,12828.62,1.001,0.529050485198375,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.63,1.11,284.66,8184.07
2,Ricker,Smsy,2568.6767045605684,Beverton-Holt,284.66,54.4,1866.23,1,-88.91802929132346,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.63,1.11,284.66,8184.07
2,Ricker,alpha,2.654113581970063,Beverton-Holt,6.63,2.65,9.84,1.001,149.80091451394347,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.63,1.11,284.66,8184.07
2,Ricker,sigma,0.5564320319053105,Beverton-Holt,1.11,0.85,1.52,1.001,99.48528056502894,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,6.63,1.11,284.66,8184.07
2,Ricker,K,8141,Ricker,8544.64,7821.77,9319.34,1,4.958113253900005,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.72,0.57,2654.35,8544.64
2,Ricker,Smsy,2568.6767045605684,Ricker,2654.35,2420.59,2950.5,1,3.335308615806827,2.654113581970063,0.5564320319053105,2568.6767045605684,8141,2.72,0.57,2654.35,8544.64
