simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Beverton-Holt,K,10000,Beverton-Holt,10054.5,9686.56,10542.5,1.014,0.545,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.54,0.11,365.86,10054.5
1,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,365.86,73.98,1554.02,1.018,-49.485330100749046,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.54,0.11,365.86,10054.5
1,Beverton-Holt,alpha,5.1,Beverton-Holt,6.54,3.46,9.8,1.014,28.235294117647065,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.54,0.11,365.86,10054.5
1,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.14,1.001,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.54,0.11,365.86,10054.5
1,Ricker,K,10000,Beverton-Holt,14047.9,1114,162375.5,1.009,40.47899999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.15,15.95,949.81,14047.9
1,Ricker,Smsy,1928.814402774944,Beverton-Holt,949.81,36.62,25397.61,1.006,-50.756796577548954,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.15,15.95,949.81,14047.9
1,Ricker,alpha,5.1,Beverton-Holt,5.15,0.27,9.76,1.005,0.980392156862759,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.15,15.95,949.81,14047.9
1,Ricker,sigma,0.1,Beverton-Holt,15.95,12.25,22.2,1.01,15850,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.15,15.95,949.81,14047.9
1,Beverton-Holt,K,10000,Ricker,9628.31,9172.77,10181.51,1.001,-3.716900000000005,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3704.29,9628.31
1,Beverton-Holt,Smsy,724.2648536151773,Ricker,3704.29,3466,3994.29,1.001,411.4551647108083,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3704.29,9628.31
1,Beverton-Holt,alpha,5.1,Ricker,1.67,1.5,1.83,1,-67.25490196078432,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3704.29,9628.31
1,Beverton-Holt,sigma,0.1,Ricker,0.19,0.15,0.24,1.001,90,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3704.29,9628.31
1,Ricker,K,10000,Ricker,9946.72,9844.65,10050,1,-0.5328000000000066,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.58,9946.72
1,Ricker,Smsy,1928.814402774944,Ricker,1926.58,1921.51,1931.71,1,-0.11584332695408711,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.58,9946.72
1,Ricker,alpha,5.1,Ricker,5.08,5.02,5.14,1.001,-0.3921568627450897,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.58,9946.72
1,Ricker,sigma,0.1,Ricker,0.12,0.09,0.17,1,19.99999999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.58,9946.72
2,Beverton-Holt,K,10000,Beverton-Holt,10041.3,9670.1,10437.7,1.003,0.4129999999999927,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.71,0.11,337.37,10041.3
2,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,337.37,73.06,1361.42,1.005,-53.41897396842974,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.71,0.11,337.37,10041.3
2,Beverton-Holt,alpha,5.1,Beverton-Holt,6.71,3.74,9.83,1.005,31.5686274509804,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.71,0.11,337.37,10041.3
2,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.14,1.001,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.71,0.11,337.37,10041.3
2,Ricker,K,10000,Beverton-Holt,15759.3,1104.72,236461.25,1.004,57.59299999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.1,16.23,1071.66,15759.3
2,Ricker,Smsy,1928.814402774944,Beverton-Holt,1071.66,37.96,34129.74,1.006,-44.439444331283205,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.1,16.23,1071.66,15759.3
2,Ricker,alpha,5.1,Beverton-Holt,5.1,0.2,9.74,1.004,0,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.1,16.23,1071.66,15759.3
2,Ricker,sigma,0.1,Beverton-Holt,16.23,12.33,22.35,1.004,16130,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.1,16.23,1071.66,15759.3
2,Beverton-Holt,K,10000,Ricker,9627.64,9172.45,10186.7,1.001,-3.723600000000006,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3703.36,9627.64
2,Beverton-Holt,Smsy,724.2648536151773,Ricker,3703.36,3463.82,3995.66,1.001,411.3267586456296,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3703.36,9627.64
2,Beverton-Holt,alpha,5.1,Ricker,1.67,1.5,1.83,1.001,-67.25490196078432,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3703.36,9627.64
2,Beverton-Holt,sigma,0.1,Ricker,0.19,0.15,0.24,1.001,90,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3703.36,9627.64
2,Ricker,K,10000,Ricker,9945.4,9841.11,10048.2,1.001,-0.5460000000000036,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.6,9945.4
2,Ricker,Smsy,1928.814402774944,Ricker,1926.6,1921.35,1931.8,1,-0.1148064205533879,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.6,9945.4
2,Ricker,alpha,5.1,Ricker,5.08,5.01,5.14,1.001,-0.3921568627450897,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.6,9945.4
2,Ricker,sigma,0.1,Ricker,0.12,0.09,0.16,1.001,19.99999999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.6,9945.4
3,Beverton-Holt,K,10000,Beverton-Holt,10046.55,9672.79,10442.61,1.003,0.4654999999999927,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.59,0.11,356.87,10046.55
3,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,356.87,72.85,1395.76,1.004,-50.72658873081045,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.59,0.11,356.87,10046.55
3,Beverton-Holt,alpha,5.1,Beverton-Holt,6.59,3.7,9.83,1.003,29.21568627450981,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.59,0.11,356.87,10046.55
3,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.14,1.001,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.59,0.11,356.87,10046.55
3,Ricker,K,10000,Beverton-Holt,16452.45,1153.93,215637.17,1.009,64.52450000000002,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.1,16.16,1073.37,16452.45
3,Ricker,Smsy,1928.814402774944,Beverton-Holt,1073.37,36.69,34507.57,1.006,-44.350788834023355,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.1,16.16,1073.37,16452.45
3,Ricker,alpha,5.1,Beverton-Holt,5.1,0.24,9.79,1.003,0,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.1,16.16,1073.37,16452.45
3,Ricker,sigma,0.1,Beverton-Holt,16.16,12.5,22.31,1.007,16059.999999999996,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.1,16.16,1073.37,16452.45
3,Beverton-Holt,K,10000,Ricker,9628.24,9170.88,10202.41,1.001,-3.7176000000000022,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3704.19,9628.24
