simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Beverton-Holt,K,8787,Beverton-Holt,10580.36,4155.92,22745.82,1.003,20.409240924092416,0.8052741272255257,1.4108729942031235,3520.7656896229823,8787,3.25,1.54,1601.97,10580.36
1,Beverton-Holt,Smsy,3520.7656896229823,Beverton-Holt,1601.97,81.24,8647.6,1.007,-54.499386178364354,0.8052741272255257,1.4108729942031235,3520.7656896229823,8787,3.25,1.54,1601.97,10580.36
1,Beverton-Holt,alpha,0.8052741272255257,Beverton-Holt,3.25,0.15,9.66,1.003,303.58927353067713,0.8052741272255257,1.4108729942031235,3520.7656896229823,8787,3.25,1.54,1601.97,10580.36
1,Beverton-Holt,sigma,1.4108729942031235,Beverton-Holt,1.54,1.25,1.98,1.001,9.152277088541826,0.8052741272255257,1.4108729942031235,3520.7656896229823,8787,3.25,1.54,1601.97,10580.36
1,Beverton-Holt,K,8787,Ricker,13836.15,2100.34,29473.96,1,57.46159098668487,0.8052741272255257,1.4108729942031235,3520.7656896229823,8787,0.55,1.56,6332.75,13836.15
1,Beverton-Holt,Smsy,3520.7656896229823,Ricker,6332.75,1046.2,13187.15,1,79.86854446647759,0.8052741272255257,1.4108729942031235,3520.7656896229823,8787,0.55,1.56,6332.75,13836.15
1,Beverton-Holt,alpha,0.8052741272255257,Ricker,0.55,0.05,1.29,1.003,-31.700276787116174,0.8052741272255257,1.4108729942031235,3520.7656896229823,8787,0.55,1.56,6332.75,13836.15
1,Beverton-Holt,sigma,1.4108729942031235,Ricker,1.56,1.27,2,1.004,10.569839128652761,0.8052741272255257,1.4108729942031235,3520.7656896229823,8787,0.55,1.56,6332.75,13836.15
2,Beverton-Holt,K,8157,Beverton-Holt,8927.42,6345.24,13479.03,1.001,9.444893956111315,3.1356559029370255,0.8997097938647517,1407.2966613297813,8157,5.13,1.13,619.82,8927.42
2,Beverton-Holt,Smsy,1407.2966613297813,Beverton-Holt,619.82,63.27,3870.47,1.001,-55.95669221482268,3.1356559029370255,0.8997097938647517,1407.2966613297813,8157,5.13,1.13,619.82,8927.42
2,Beverton-Holt,alpha,3.1356559029370255,Beverton-Holt,5.13,1.46,9.75,1.001,63.602134889704054,3.1356559029370255,0.8997097938647517,1407.2966613297813,8157,5.13,1.13,619.82,8927.42
2,Beverton-Holt,sigma,0.8997097938647517,Beverton-Holt,1.13,0.94,1.42,1,25.5960541616452,3.1356559029370255,0.8997097938647517,1407.2966613297813,8157,5.13,1.13,619.82,8927.42
2,Beverton-Holt,K,8157,Ricker,13453.96,8686.48,19375.92,1,64.9375996076989,3.1356559029370255,0.8997097938647517,1407.2966613297813,8157,1.05,1.21,5718.09,13453.96
2,Beverton-Holt,Smsy,1407.2966613297813,Ricker,5718.09,3940.33,8244.31,1.001,306.3173144031244,3.1356559029370255,0.8997097938647517,1407.2966613297813,8157,1.05,1.21,5718.09,13453.96
2,Beverton-Holt,alpha,3.1356559029370255,Ricker,1.05,0.51,1.59,1.004,-66.51418291731204,3.1356559029370255,0.8997097938647517,1407.2966613297813,8157,1.05,1.21,5718.09,13453.96
2,Beverton-Holt,sigma,0.8997097938647517,Ricker,1.21,0.99,1.51,1.001,34.487810208487346,3.1356559029370255,0.8997097938647517,1407.2966613297813,8157,1.05,1.21,5718.09,13453.96
3,Ricker,K,8338,Beverton-Holt,75982.82,5541.88,1052434.1,1.012,811.2835212281124,2.5024367239820267,1.8411635693912114,2715.5605770886596,8338,4.55,21.83,6152.66,75982.82
3,Ricker,Smsy,2715.5605770886596,Beverton-Holt,6152.66,197.87,194328.98,1.009,126.57053029530424,2.5024367239820267,1.8411635693912114,2715.5605770886596,8338,4.55,21.83,6152.66,75982.82
3,Ricker,alpha,2.5024367239820267,Beverton-Holt,4.55,0.16,9.74,1.012,81.82277922934924,2.5024367239820267,1.8411635693912114,2715.5605770886596,8338,4.55,21.83,6152.66,75982.82
3,Ricker,sigma,1.8411635693912114,Beverton-Holt,21.83,17.71,27.71,1.006,1085.6632600664686,2.5024367239820267,1.8411635693912114,2715.5605770886596,8338,4.55,21.83,6152.66,75982.82
3,Ricker,K,8338,Ricker,7946.4,5733.65,10150.97,0.999,-4.696569920844332,2.5024367239820267,1.8411635693912114,2715.5605770886596,8338,2.41,1.87,2638.51,7946.4
3,Ricker,Smsy,2715.5605770886596,Ricker,2638.51,2182.87,2915.82,0.999,-2.837372796568763,2.5024367239820267,1.8411635693912114,2715.5605770886596,8338,2.41,1.87,2638.51,7946.4
3,Ricker,alpha,2.5024367239820267,Ricker,2.41,1.73,3.1,0.999,-3.6938685840150107,2.5024367239820267,1.8411635693912114,2715.5605770886596,8338,2.41,1.87,2638.51,7946.4
3,Ricker,sigma,1.8411635693912114,Ricker,1.87,1.5,2.42,1,1.5662068861336202,2.5024367239820267,1.8411635693912114,2715.5605770886596,8338,2.41,1.87,2638.51,7946.4
4,Beverton-Holt,K,9197,Beverton-Holt,11340.79,8628.41,15060.09,1.003,23.30966619549854,2.5173843618576512,0.9388696676383125,2034.36819759113,9197,5.82,0.7,583.36,11340.79
4,Beverton-Holt,Smsy,2034.36819759113,Beverton-Holt,583.36,82.82,3420.56,1.006,-71.32475818827932,2.5173843618576512,0.9388696676383125,2034.36819759113,9197,5.82,0.7,583.36,11340.79
4,Beverton-Holt,alpha,2.5173843618576512,Beverton-Holt,5.82,1.95,9.75,1.004,131.19234742942683,2.5173843618576512,0.9388696676383125,2034.36819759113,9197,5.82,0.7,583.36,11340.79
4,Beverton-Holt,sigma,0.9388696676383125,Beverton-Holt,0.7,0.54,0.92,1.001,-25.44226061101529,2.5173843618576512,0.9388696676383125,2034.36819759113,9197,5.82,0.7,583.36,11340.79
4,Beverton-Holt,K,9197,Ricker,13866.2,10937.38,18022.61,1,50.76872893334784,2.5173843618576512,0.9388696676383125,2034.36819759113,9197,1.29,0.71,5684.39,13866.2
4,Beverton-Holt,Smsy,2034.36819759113,Ricker,5684.39,4624.25,7499.1,1,179.41795426859383,2.5173843618576512,0.9388696676383125,2034.36819759113,9197,1.29,0.71,5684.39,13866.2
4,Beverton-Holt,alpha,2.5173843618576512,Ricker,1.29,0.84,1.72,1.001,-48.756335363580654,2.5173843618576512,0.9388696676383125,2034.36819759113,9197,1.29,0.71,5684.39,13866.2
4,Beverton-Holt,sigma,0.9388696676383125,Ricker,0.71,0.55,0.96,1.002,-24.377150048315503,2.5173843618576512,0.9388696676383125,2034.36819759113,9197,1.29,0.71,5684.39,13866.2
5,Ricker,K,8951,Beverton-Holt,2918.73,1005.65,8918.17,1.002,-67.39213495698804,1.9465115074639538,1.21587955867771,3263.5134566557335,8951,4.29,3.66,290.29,2918.73
5,Ricker,Smsy,3263.5134566557335,Beverton-Holt,290.29,18.09,1743.28,1.005,-91.10498535227512,1.9465115074639538,1.21587955867771,3263.5134566557335,8951,4.29,3.66,290.29,2918.73
5,Ricker,alpha,1.9465115074639538,Beverton-Holt,4.29,0.85,9.61,1.001,120.39427887016711,1.9465115074639538,1.21587955867771,3263.5134566557335,8951,4.29,3.66,290.29,2918.73
5,Ricker,sigma,1.21587955867771,Beverton-Holt,3.66,3,4.6,1,201.0166569442382,1.9465115074639538,1.21587955867771,3263.5134566557335,8951,4.29,3.66,290.29,2918.73
5,Ricker,K,8951,Ricker,8407.36,6136.28,10583.01,0.999,-6.0735113395151314,1.9465115074639538,1.21587955867771,3263.5134566557335,8951,1.88,1.58,3096.35,8407.36
