simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Beverton-Holt,K,8826,Beverton-Holt,8305.06,6153.5,12781.74,1.002,-5.902334013142992,975.3795631573505,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.88,0.55,2317.08,8305.06
1,Beverton-Holt,Smsy,2679.2151250146335,Beverton-Holt,2317.08,82.24,4541.78,1.002,-13.516463147491958,975.3795631573505,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.88,0.55,2317.08,8305.06
1,Beverton-Holt,alpha,1.6608105454688664,Beverton-Holt,1.88,0.99,8.91,1.002,13.197739810187302,975.3795631573505,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.88,0.55,2317.08,8305.06
1,Beverton-Holt,b_cov,0.6718088327156602,Beverton-Holt,0.66,0.4,0.9,1.001,-1.7577668140987608,975.3795631573505,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.88,0.55,2317.08,8305.06
1,Beverton-Holt,sigma,0.4775605771429452,Beverton-Holt,0.55,0.45,0.7,1.001,15.168635420124307,975.3795631573505,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.88,0.55,2317.08,8305.06
1,Beverton-Holt,K,8826,Ricker,11621.95,8893.63,15669.35,1.001,31.67856333559937,975.3795631573505,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.91,0.55,5085.51,11621.95
1,Beverton-Holt,Smsy,2679.2151250146335,Ricker,5085.51,3975.08,6857.62,1.002,89.81342530201728,975.3795631573505,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.91,0.55,5085.51,11621.95
1,Beverton-Holt,alpha,1.6608105454688664,Ricker,0.91,0.65,1.17,1.001,-45.20747700677103,975.3795631573505,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.91,0.55,5085.51,11621.95
1,Beverton-Holt,b_cov,0.6718088327156602,Ricker,0.58,0.34,0.81,1.001,-13.665916291177709,975.3795631573505,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.91,0.55,5085.51,11621.95
1,Beverton-Holt,sigma,0.4775605771429452,Ricker,0.55,0.45,0.7,1.001,15.168635420124307,975.3795631573505,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.91,0.55,5085.51,11621.95
