simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Beverton-Holt,K,8826,Beverton-Holt,8821.84,6850.23,12025.86,1,-0.04713346929526235,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.53,0.55,2793.7,8821.84
1,Beverton-Holt,Smsy,2679.2151250146335,Beverton-Holt,2793.7,726.4,4335.09,1.001,4.273075122504059,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.53,0.55,2793.7,8821.84
1,Beverton-Holt,alpha,1.6608105454688664,Beverton-Holt,1.53,0.91,4.42,1.002,-7.876307494900752,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.53,0.55,2793.7,8821.84
1,Beverton-Holt,b_cov,0.6718088327156602,Beverton-Holt,0.62,0.45,0.78,1.001,-7.711841552638235,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.53,0.55,2793.7,8821.84
1,Beverton-Holt,sigma,0.4775605771429452,Beverton-Holt,0.55,0.45,0.69,1,15.168635420124307,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.53,0.55,2793.7,8821.84
1,Beverton-Holt,K,8826,Ricker,11777.2,9254.14,15032.6,1,33.43757081350556,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.83,0.56,5219.29,11777.2
1,Beverton-Holt,Smsy,2679.2151250146335,Ricker,5219.29,4198.13,6648.38,1,94.8066786899575,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.83,0.56,5219.29,11777.2
1,Beverton-Holt,alpha,1.6608105454688664,Ricker,0.83,0.58,1.07,1.001,-50.02440210507688,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.83,0.56,5219.29,11777.2
1,Beverton-Holt,b_cov,0.6718088327156602,Ricker,0.59,0.41,0.76,1.001,-12.17739760654284,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.83,0.56,5219.29,11777.2
1,Beverton-Holt,sigma,0.4775605771429452,Ricker,0.56,0.45,0.71,1.001,17.262610609581117,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.83,0.56,5219.29,11777.2
2,Ricker,K,8544,Beverton-Holt,8840.53,7329.85,11175.2,1.002,3.4706226591760374,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,3.74,0.52,1160.32,8840.53
2,Ricker,Smsy,3357.359964016768,Beverton-Holt,1160.32,68.78,3000.25,1.003,-65.43951162711235,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,3.74,0.52,1160.32,8840.53
2,Ricker,alpha,1.5542408188201262,Beverton-Holt,3.74,1.84,9.58,1.003,140.63195064193164,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,3.74,0.52,1160.32,8840.53
2,Ricker,b_cov,-0.20166145417871084,Beverton-Holt,-0.13,-0.3,0.02,1.002,-35.53552386625409,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,3.74,0.52,1160.32,8840.53
2,Ricker,sigma,0.3699071603871906,Beverton-Holt,0.52,0.43,0.65,1.002,40.57581352458916,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,3.74,0.52,1160.32,8840.53
2,Ricker,K,8544,Ricker,9342.81,8300.67,10784.22,1.001,9.349367977528082,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,1.56,0.49,3661.81,9342.81
2,Ricker,Smsy,3357.359964016768,Ricker,3661.81,3218.58,4309.61,1,9.068138038406396,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,1.56,0.49,3661.81,9342.81
2,Ricker,alpha,1.5542408188201262,Ricker,1.56,1.29,1.83,1.001,0.3705462570623913,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,1.56,0.49,3661.81,9342.81
2,Ricker,b_cov,-0.20166145417871084,Ricker,-0.18,-0.33,-0.04,1.001,-10.741494584044123,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,1.56,0.49,3661.81,9342.81
2,Ricker,sigma,0.3699071603871906,Ricker,0.49,0.4,0.61,1.001,32.46567043663208,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,1.56,0.49,3661.81,9342.81
3,Beverton-Holt,K,9340,Beverton-Holt,9377.57,1535.36,35687.66,1.002,0.40224839400427953,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.4,1.15,4074.98,9377.57
3,Beverton-Holt,Smsy,3181.6914249356464,Beverton-Holt,4074.98,759.64,15876.6,1.002,28.07590227208855,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.4,1.15,4074.98,9377.57
3,Beverton-Holt,alpha,1.3207784157013982,Beverton-Holt,0.4,0.03,1.07,1.003,-69.71482913070015,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.4,1.15,4074.98,9377.57
3,Beverton-Holt,b_cov,-0.1743312318341315,Beverton-Holt,-0.08,-0.41,0.27,1.001,-54.11034548524472,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.4,1.15,4074.98,9377.57
