simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Beverton-Holt,K,8826,Beverton-Holt,8765.63,6839.56,11865.91,1.001,-0.6840018128257512,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.52,0.55,2781.52,8765.63
1,Beverton-Holt,Smsy,2679.2151250146335,Beverton-Holt,2781.52,676.12,4246.14,1.003,3.8184643715314843,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.52,0.55,2781.52,8765.63
1,Beverton-Holt,alpha,1.6608105454688664,Beverton-Holt,1.52,0.91,4.59,1.002,-8.478423132188984,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.52,0.55,2781.52,8765.63
1,Beverton-Holt,b_cov,0.6718088327156602,Beverton-Holt,0.62,0.45,0.79,1.001,-7.711841552638235,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.52,0.55,2781.52,8765.63
1,Beverton-Holt,sigma,0.4775605771429452,Beverton-Holt,0.55,0.45,0.69,1.001,15.168635420124307,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,1.52,0.55,2781.52,8765.63
1,Beverton-Holt,K,8826,Ricker,11759.55,9286.73,14863.94,1.001,33.237593473827324,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.83,0.56,5211.68,11759.55
1,Beverton-Holt,Smsy,2679.2151250146335,Ricker,5211.68,4204.34,6565.68,1.001,94.52264028150911,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.83,0.56,5211.68,11759.55
1,Beverton-Holt,alpha,1.6608105454688664,Ricker,0.83,0.59,1.08,1.001,-50.02440210507688,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.83,0.56,5211.68,11759.55
1,Beverton-Holt,b_cov,0.6718088327156602,Ricker,0.58,0.42,0.75,1,-13.665916291177709,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.83,0.56,5211.68,11759.55
1,Beverton-Holt,sigma,0.4775605771429452,Ricker,0.56,0.46,0.71,1,17.262610609581117,1194.7047301823807,1.6608105454688664,0.4775605771429452,0.6718088327156602,2679.2151250146335,8826,0.83,0.56,5211.68,11759.55
2,Ricker,K,8544,Beverton-Holt,8810.77,7317.97,11142.81,1.001,3.122308052434462,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,3.7,0.52,1178.53,8810.77
2,Ricker,Smsy,3357.359964016768,Beverton-Holt,1178.53,69.71,3004.86,1.002,-64.89712117166016,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,3.7,0.52,1178.53,8810.77
2,Ricker,alpha,1.5542408188201262,Beverton-Holt,3.7,1.83,9.57,1.001,138.05834689175055,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,3.7,0.52,1178.53,8810.77
2,Ricker,b_cov,-0.20166145417871084,Beverton-Holt,-0.14,-0.3,0.03,1,-30.576718009812087,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,3.7,0.52,1178.53,8810.77
2,Ricker,sigma,0.3699071603871906,Beverton-Holt,0.52,0.43,0.66,1.001,40.57581352458916,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,3.7,0.52,1178.53,8810.77
2,Ricker,K,8544,Ricker,9327.48,8307.52,10751.41,1,9.169943820224715,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,1.56,0.49,3660.2,9327.48
2,Ricker,Smsy,3357.359964016768,Ricker,3660.2,3216.62,4302.09,1,9.020183692811774,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,1.56,0.49,3660.2,9327.48
2,Ricker,alpha,1.5542408188201262,Ricker,1.56,1.29,1.83,1.002,0.3705462570623913,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,1.56,0.49,3660.2,9327.48
2,Ricker,b_cov,-0.20166145417871084,Ricker,-0.18,-0.33,-0.04,1.001,-10.741494584044123,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,1.56,0.49,3660.2,9327.48
2,Ricker,sigma,0.3699071603871906,Ricker,0.49,0.4,0.61,1.001,32.46567043663208,1251.6848702317866,1.5542408188201262,0.3699071603871906,-0.20166145417871084,3357.359964016768,8544,1.56,0.49,3660.2,9327.48
3,Beverton-Holt,K,9340,Beverton-Holt,9576.91,1681.08,36113.47,1.001,2.5365096359743027,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.4,1.15,4186.34,9576.91
3,Beverton-Holt,Smsy,3181.6914249356464,Beverton-Holt,4186.34,824.57,15955.42,1.001,31.575927419946893,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.4,1.15,4186.34,9576.91
3,Beverton-Holt,alpha,1.3207784157013982,Beverton-Holt,0.4,0.04,1.05,1.001,-69.71482913070015,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.4,1.15,4186.34,9576.91
3,Beverton-Holt,b_cov,-0.1743312318341315,Beverton-Holt,-0.08,-0.43,0.26,1.001,-54.11034548524472,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.4,1.15,4186.34,9576.91
3,Beverton-Holt,sigma,1.1291761617370997,Beverton-Holt,1.15,0.94,1.45,1.004,1.8441620509297068,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.4,1.15,4186.34,9576.91
3,Beverton-Holt,K,9340,Ricker,12359.9,1637.57,30054.58,1.001,32.33297644539614,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.34,1.15,5876.8,12359.9
3,Beverton-Holt,Smsy,3181.6914249356464,Ricker,5876.8,816.11,14086.64,1.001,84.7067868977541,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.34,1.15,5876.8,12359.9
3,Beverton-Holt,alpha,1.3207784157013982,Ricker,0.34,0.03,0.76,1.001,-74.25760476109511,480.6702332818836,1.3207784157013982,1.1291761617370997,-0.1743312318341315,3181.6914249356464,9340,0.34,1.15,5876.8,12359.9
